s.no.,Division/ Seat No.,Name of Member,Session,From Date,To Date,State,Total Sittings,No of days member signed the register
92,104,Shri D. Bandyopadhyay,239,25/04/2016,13/05/2016,West Bangal,15,14
93,106,Shri Bhupinder Singh,239,25/04/2016,13/05/2016,Odisha,15,15
94,106,Shri Narendra Kumar Swain,239,25/04/2016,13/05/2016,Odisha,15,13
95,108,Shri Majeed Memon,239,25/04/2016,13/05/2016,Maharashtra,15,14
96,109,Shri Suresh Gopi,239,25/04/2016,13/05/2016,Nominated,15,2
97,110,*Dr. Narendra Jadhav,239,25/04/2016,13/05/2016,Nominated,15,11
98,111,Shri Swapan Dasgupta,239,25/04/2016,13/05/2016,Nominated,15,11
99,113,Shri Ahamed Hassan,239,25/04/2016,13/05/2016,West Bangal,15,8
100,114,Prof. Jogen Chowdhury,239,25/04/2016,13/05/2016,West Bangal,15,10
101,119,Shri A.V. Swamy,239,25/04/2016,13/05/2016,Odisha,15,15
102,120,Shri Ishwarlal Shankarlal Jain,239,25/04/2016,13/05/2016,Maharashtra,15,10
103,121,Shri S. Thangavelu,239,25/04/2016,13/05/2016,Tamilnadu,15,2
104,124,Ms. Dola Sen,239,25/04/2016,13/05/2016,West Bangal,15,2
105,125,Shri Vivek Gupta,239,25/04/2016,13/05/2016,West Bangal,15,9
106,126,Shri Sitaram Yechury,239,25/04/2016,13/05/2016,West Bangal,15,11
107,127,Prof. Ram Gopal Yadav,239,25/04/2016,13/05/2016,Uttar Pradesh,15,10
108,128,Shri Sharad Yadav,239,25/04/2016,13/05/2016,Bihar,15,14
109,129,Km. Mayawati,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
110,131,Shri Naresh Agrawal,239,25/04/2016,13/05/2016,Uttar Pradesh,15,13
111,132,Shri Tapan Kumar Sen,239,25/04/2016,13/05/2016,West Bangal,15,12
112,133,Shri Ali Anwar Ansari,239,25/04/2016,13/05/2016,Bihar,15,13
113,134,Shri Satish Chandra Misra,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
114,135,Shri T.K. Rangarajan,239,25/04/2016,13/05/2016,Tamilnadu,15,2
115,139,Shri Ambeth Rajan,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
116,139,Dr. Anil Kumar Sahani,239,25/04/2016,13/05/2016,Bihar,15,13
117,140,Shri Veer Singh,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
118,141,Smt. Jaya Bachchan,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
119,142,Shri Kiranmay Nanda,239,25/04/2016,13/05/2016,Uttar Pradesh,15,8
120,142,Smt. Kanak Lata Singh,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
121,143,Shri Javed Ali Khan,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
122,144,Smt. Jharna Das Baidya,239,25/04/2016,13/05/2016,Tripura,15,13
123,145,Shri Bashistha Narain Singh,239,25/04/2016,13/05/2016,Bihar,15,14
124,146,Shri D. Raja,239,25/04/2016,13/05/2016,Tamilnadu,15,10
125,147,Shri Prem Chand Gupta,239,25/04/2016,13/05/2016,Jharkhand,15,14
126,148,Shri Ram Nath Thakur,239,25/04/2016,13/05/2016,Bihar,15,14
127,149,Shri Ram Chandra Prasad Singh,239,25/04/2016,13/05/2016,Bihar,15,7
128,150,Shri C.P. Narayanan,239,25/04/2016,13/05/2016,Karnataka,15,10
129,151,Shri Vishambhar Prasad Nishad,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
130,152,Shri Darshan Singh Yadav,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
131,153,Dr. Tazeen Fatma,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
132,154,Shri Munquad Ali,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
133,155,Chaudhary Munvvar Saleem,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
134,156,Shri Pyarimohan Mohapatra,239,25/04/2016,13/05/2016,Odisha,15,8
135,156,*Shri M.P. Veerendra Kumar,239,25/04/2016,13/05/2016,Karnataka,15,1
136,157,Shri Pavan Kumar Varma,239,25/04/2016,13/05/2016,Bihar,15,15
137,157,Smt. Kahkashan Perween,239,25/04/2016,13/05/2016,Bihar,15,13
138,158,Shri Harivansh,239,25/04/2016,13/05/2016,Bihar,15,11
139,160,Shri Ritabrata Banerjee,239,25/04/2016,13/05/2016,West Bangal,15,6
140,161,Shri Alok Tiwari,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
141,162,Dr. Chandrapal Singh Yadav,239,25/04/2016,13/05/2016,Uttar Pradesh,15,13
142,162,Shri Arvind Kumar Singh,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
143,163,Shri Ravi Prakash Verma,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
144,164,Shri Neeraj Shekhar,239,25/04/2016,13/05/2016,Uttar Pradesh,15,14
145,165,Shri Rajaram,239,25/04/2016,13/05/2016,Uttar Pradesh,15,15
146,166,Smt. Vandana Chavan,239,25/04/2016,13/05/2016,Maharashtra,15,12
147,167,Shri K.K. Ragesh,239,25/04/2016,13/05/2016,Karnataka,15,2
148,168,Shri K. Somaprasad,239,25/04/2016,13/05/2016,Karnataka,15,5
149,169,Shri Gulam Rasool Balyawi,239,25/04/2016,13/05/2016,Bihar,15,14
150,169,Shri Ram Kumar Kashyap,239,25/04/2016,13/05/2016,Haryana,15,15
151,170,Shri D. Kupendra Reddy,239,25/04/2016,13/05/2016,Karnataka,15,10
152,170,Shri Jugul Kishore,239,25/04/2016,13/05/2016,Uttar Pradesh,15,10
153,171,Shri K.G. Kenye,239,25/04/2016,13/05/2016,Nagaland,15,5
